id;razon_social;contacto_tecnico;correo_empresa;direccion;celular;created_at;user_id
1;connecting fritas;methodologies Yemeni;Metal;Buckinghamshire capacidad;98085;2022-12-01T06:54:59;1
2;programming input Mercado;interface Barein monitor;Multi alarm Cantabria;Loan Singapur;20901;2022-12-01T18:38:33;2
3;mobile Money;payment array uniforme;interfaz;overriding e-business;27735;2022-12-01T18:19:43;2
4;Re-contextualizado digital mindshare;Dollar relationships hack;Grupo Fantástico;Coche generating;84260;2022-11-30T22:26:15;2
5;Implementación Facilitador Central;Especialista Nacional;platforms Ladrillo intuitive;synthesize parse;27056;2022-12-01T03:34:43;1
6;deposit Gerente ROI;Mancha Gris Papelería;transmit Relacciones SDD;Mercado paradigms Guapa;6574;2022-12-01T04:23:36;1
7;generate Ejecutivo Estratega;Metal;digital seamless Infraestructura;Bolivar;52615;2022-12-01T17:08:23;1
8;markets;cross-platform 24/365;Municipio cero TCP;Ramal;22140;2022-11-30T22:39:29;2
9;Hormigon deposit system;Comunicaciones;Gerente;indexing Borders;31323;2022-12-01T04:44:45;1
10;Rua;bluetooth;Cambridgeshire;Edificio;6692;2022-12-01T02:56:30;1
